Temperature,Magnetization,Energy
0.01,0.0740625,0.01375
0.522564,0.08125,-0.03625
1.03513,0.060625,0.05625
1.54769,0.0671875,-0.02125
2.06026,0.07,0.03125
2.57282,0.0671875,-0.06125
3.08538,0.0765625,-0.0375
3.59795,0.066875,0.06875
4.11051,0.0646875,0.01875
4.62308,0.05625,-0.01125
5.13564,0.0778125,0.03875
5.64821,0.0775,-0.02125
6.16077,0.0703125,-0.02875
6.67333,0.0821875,0.025
7.1859,0.0946875,-0.00625
7.69846,0.0559375,0.04
8.21103,0.0671875,0.00125
8.72359,0.069375,-0.0025
9.23615,0.07125,-0.03
9.74872,0.075,0.04375
10.2613,0.0734375,0.015
10.7738,0.07875,0.00375
11.2864,0.061875,0.04125
11.799,0.058125,0.0475
12.3115,0.066875,-0.015
12.8241,0.07375,-0.05875
13.3367,0.0653125,-0.015
13.8492,0.0725,0.04125
14.3618,0.06375,-0.01625
14.8744,0.068125,0.0025
15.3869,0.0671875,0.0325
15.8995,0.0659375,-0.01
16.4121,0.0865625,-0.015
16.9246,0.075625,0.00625
17.4372,0.075,-0.01625
17.9497,0.0771875,-0.02
18.4623,0.065625,0.05375
18.9749,0.06,0.03875
19.4874,0.056875,0.05125
20,0.084375,-0.0475
