Temperature,Magnetization,Energy
0.01,0.0592188,0.00375
0.522564,0.0228125,-0.01625
1.03513,0.0510938,-0.010625
1.54769,0.07,-0.008125
2.06026,0.0364063,-0.02
2.57282,0.05,-0.076875
3.08538,0.0617188,-0.003125
3.59795,0.064375,0.041875
4.11051,0.0290625,-0.103125
4.62308,0.0285938,0.024375
5.13564,0.0635938,0.023125
5.64821,0.029375,0.06375
6.16077,0.0585938,-0.10375
6.67333,0.0339062,0.005
7.1859,0.0910938,-0.011875
7.69846,0.0482812,0.000625
8.21103,0.0635938,0.080625
8.72359,0.0764062,-0.0375
9.23615,0.0253125,-0.058125
9.74872,0.0409375,-0.03875
10.2613,0.0442188,0.05375
10.7738,0.05,0.01
11.2864,0.0346875,-0.02375
11.799,0.0239063,0.01375
12.3115,0.04625,0.031875
12.8241,0.0489062,0.039375
13.3367,0.0770312,0.14625
13.8492,0.05125,0.135625
14.3618,0.0246875,-0.076875
14.8744,0.0692187,-0.068125
15.3869,0.0410937,0.01625
15.8995,0.02375,-0.02
16.4121,0.0246875,-0.065
16.9246,0.0590625,0.065625
17.4372,0.0396875,0.01375
17.9497,0.120156,-0.02875
18.4623,0.0265625,0.04125
18.9749,0.0942188,0.00375
19.4874,0.0790625,-0.07625
20,0.0364063,0.07125
